Description,Spam
"Subject: latex macintosh

' ve already mind , seem , want point four implementation tex latex macintosh , three shareware one commercial . beside weak ( particularly humble opinion ) wsuipa font , latex allow adobe type 1 type 3 ( "" postscript "" ) font , sil ipa font , those available commercially adobe ( roman , stone san serif stone serif ) ecological linguistic ( cf . recent message lloyd anderson ) . true whichever platform decide . rich alderson
",no
"Subject: obituary : jochem schindler

inform untimely death jochem schindler , prof . indoeuropean linguistics vienna univ . 1987 , prof . linguistics harvard univ . 1978 till 1987 , pass away dec . 24th 1994 . ursulum doleschal & sergej krylov institut f . slawische sprachen wirtschaftsuniv . wien augasse 9 , 1090 wien tel . : + + 43 - 1-31336 4115 fax : + + 43 - 1-31336 744
",no
"Subject: re : 6 . 793 , qs : mohawk , russian , bann german . mel ' cuk

3 ) deat : tue , 6 jun 1995 1 : 44 : 22 - 256 : jpkirchner @ aol . com subject : q : german ban iowa ' ve recently receive message man claim during world war , german language "" illegal "" state iowa decree governor . interest , since own family 's story anti - german discrimination michigan limit snide remark two our surname . below relevant part man 's message . anyone vouch veracity ? jame kirchner ) here iowa where grow most household language > foreign language early part century . public ) school english course . uncle local ) "" german "" school parochial school . ) necessary german lutheran church liturgy > bible luther 's german plattdeutsch speak ) school learn . world war end . > iowa governor issue proclamation ban speak ) foreign language public place . phone operator ) instruct pull plug non english telephone ) conversation . party line patron hold telephone ) receiver mouth piece result whistle ) interfere non english speech . modern language > instruction drop school curriculum . blow ) school system never really recover . ) newspaper publish report arrest ) street speak german . real hardship older > immigrant . german language newspaper ) suppress . our rural county german papers one . ) fact editor one once elect county ) treasurer . day age somewhat embarrass . > stumble fact state iowa organize ) amount secret police agency . state form ) agency whose purpose investigate act disloyalty . ) power levy fine imprison ) duration war without benefit trial . america 's > active participation relatively short live agency ) around long . interest research ) paper sometime record still exist . happen several midwest state . issue reach supreme court early 20 's case "" meyer v . nebraska "" , court rule against nebraska , effectively eliminate law . frank anshen dept linguistic state u ny stony brook , ny 11794
",no
"Subject: job opening

job opening re - post : fill one position , still accept application . interest position , please n't hesitate call ( 309 ) 675-7339 . - - christine kamprath caterpillar inc . , world 's lead manufacturer heavy earthmove equipment , major publisher translator technical publication worldwide , three job openings work various aspect implement automate machine translation ( amt ) system production write translate work environment . three position : 1 . caterpillar technical english ( cte ) language trainer 2 . cte language mentor 3 . amt coordinator caterpillar amt system rely control english input ( write cte , rich subset vocabulary grammatical structure english tailor need caterpillar 's technical document ) , monitor sophisticate linguistic software writer / write technical document . cte language trainer mentor expect acquire thorough understand cte linguistic edit software , assist prepare maintain train material develop write guideline , provide assistance mentore technical writer learn cte software . trainer conduct train class technical write staff . addition train role , fill two position assist cte / amt team ongo development maintenance cte edit software . role amt coordinator amt process oversee test integration amt system translation document production environment . amt coordinator design monitor quality assurance test amt output , identify collect problem report , oversee route resolution issue raise . amt coordinator thus need acquire thorough knowledge cte vocabulary grammar , cte edit software , amt grammar mechanism , amt software , familiarity hardware system issue . addition task , amt coordinator assist cte / amt team ongo development maintenance cte amt system . minimally position involve task list here . however , greater background linguistics nlp opportunity participate deeply aspect project . project groundbreak scope sgml tag within sentence parse translate . candidate three position possess knowledge experience general linguistic principle ; innovative interest author edit issue , substantive experience / ability train mentore grammar software , excellent write skill . position require ba ma linguistic , english , relate discipline , skill above-mention area , native-speaker competence english . knowledge sgml tag , natural language process issue principle , terminology mechanic heavy machinery industry helpful . addition , amt coordinator position require familiarity translation issue least one language address amt system ( romance language , german , russian ) . application , include curriculum vita resume name three reference , send : dr . christine kamprath , senior computational linguist amt / cte project technical information division build n1-a180 600 w . washington street east peorium , il 61630-0371 screen position begin ; position staff soon qualify candidate . application send fax mail ; query accept phone e-mail . e-mail : ckkz8d1 @ cat . com ckampra @ heartland . bradley . edu fax : ( 309 ) 675-9773 phone : ( 309 ) 675-7339
",no
"Subject: dislocation

content - length : 4400 - - - - - - - - - - forward message - - - - - - - - - - deat mon , 19 jun 1995 08 : 10 : 48 - 256 > aaa552 @ agora . ulaval . ca subject / graviton / einstein / aaa552 / mail / bb post week ago query topic dislocation . want whether phenomenon name dislocation imply coreference . response post indicate word dislocation large refer phrase p adjoin sentence s where p hold coreference relationship pronoun include s . seem exist terminological consensus notion ( although dislocation cover topicalization ) . here slightly edit summary response . many thanks those whose respond . hope useful . pierre larrivee . w . croft @ manchester . ac . uk ( bill croft ) : define "" dislocation "" useful answer query - - - particular , define coreference relation follow definition . "" dislocation "" means etymology suggest , involve movement element canonical position ; allow coreference phonologically null element ( leave canonical position ) , definition dislocate element coreference relation element sentence adjoin , namely null non-null element "" leave behind "" . allow coreference phonologically null element , english construction call "" topicalization "" "" y - movement "" counterexample generalization inquire . define "" dislocation "" non-movement fashion - - - . e . element ( np ? ) adjoin sentential constituent - - - japanese , chinese e asian language ' topic construction counter - example , since "" topic "" np need argument even adjunct sentence adjoin . comment mine : seem topicalization somewhat different phenomenon dislocation , ? cf . prosody ( pause topic ) lack ( general ) resumptive pronoun ( chocolate cake ( * ) ) . w . croft add : prosody interest start definition dislocation n't presuppose coreference - - - resumptive pronoun part problematic , since specify form resumptive form presuppose coreference . > holleb @ linguist . umass . edu ( ? ? bart holle ) moment work right dislocation , mainly dutch . far tell counterexample . moment reference element "" main "" clause clearly extraposition . main difference dutch extract extrapose phrase , wherea cannot right dislocate one . > sophie . kern @ mrash . fr ( sophie kern ) ' m actually writ thesis development narrative competence french monolingual child ( 3 11 old ) picture book task . one domain ' m study reference main character story , particulierly kind linguistic device child maintain switch reference subject position lot leave right dislocation . > larry horn ( lhorn @ yalevm . cis . yale . edu ) want check old paper robert rodman topicalization ld journal call paper linguistic . 1973 . talk sentence : noxious odor , sheepdog fart after eat escargot . sentence comment topic "" ld "" phrase , coreference per se obtain . > barrett @ zelig . cs . nyu . edu ( leslie barrett ) 's article bower li ( 1993 ) mainly concern predication mention coreference possibility front vps follow : criticize himself , john never ) luge . latrobe . edu . au ( hussein shokouhus ) ronald geluyken extensively work issue english . publish book 1992 under title ' grammar discourse : left-dislocate construction ' . knud lambrescht something french . publish book french discourse syntax 1994 . surely , number reference those two book .
",no
"Subject: re : 6 . 381 word own opposite

hebrew bible , verb berek usually means "" bless "" . however , first chapter book job , same word generally believe mean "" curse "" . similar contrast later midrashic talmudic literature . arian . = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = + = = = = = = = = = = = = = = = = = = = = = = = = dr arian j . c . verheij | email arian @ th . vu . nl vu , dpt . computer science & biblical study | phone + 31 20 444 6625 / 7 de boelelaan 1105 , nl 1081 hv amsterdam | fax + 31 20 444 6635
",no
"Subject: proofread medieval e - text

humanist discussion group , vol . 5 , . 0856 . monday , 27 apr 1992 . seek volunteer proof-read transcription attach list medieval text , prepare _ archivo digital de manuscrito y texto espan \ * ~ ole _ ( _ admyte _ ) , cd-rom disk publish summer sociedad estatal quinto centenario . addition several hundr medieval text transcribe accord norm _ manual manuscript transcription dictionary old spanish language _ , 4th ed . ( madison , 1986 ) , disk contain special version tact , text analysis retrieval program u . toronto , _ bibliography old spanish text _ , unite , program computer-assist textual criticism . available text represent interest cross-section medieval spanish literary culture - - history alfonsine tradition medical legal work translation classic medieval literature . provide : - photocopy original ms print edition - printout transcription - electronic version transcription - copy madison _ manual _ mention above - copy special version tact 200 - page manual participant project receive full credit work _ admyte _ - - mention satisfaction help bring fruition one most important scholarly project quincentenary . lista de lo texto castellano que se han transcrito expresamente para admyte . actualmente obran en mi poder y esta / * ' n listo para corregir . abreviatura bnm = madrid . biblioteca nacional bu = biblioteca universitarium esc . = escorial . monasterio cuando se tra de vario texto dentro de un mismo ms o edicio \ * ' n , se han agrupado bajo la signatura del voluman que lo contiene . al final de cada texto se indica su taman \ * ~ o o en "" byte "" o en folio . alfonso martus \ * ' nez de toledo . invencionario . bnm 9219 . 126 ff . ( transcr . p . gericke ) cro \ * ' nica de 1344 ( parte ) . madrid : zaba / * ' lburu 11-109 , ff . 1r - 107 ( 1 . 33 mb ) ( listo para corregir ) ( transcr . j . da cruz ) domingo marco dura / * ' n . lux bellum . impreso sevillum , 1492 . bnm 2165 . 6 ff . ( mu \ * 's ica ) ( transcr . d . burton ) domingo marco dura / * ' n . glosa sobre lux bellum . impreso salamanca , 1498 - 6-17 . bnm 2165 . 38 ff . ( mu \ * 's ica ) ( transcr . d . burton ) fuero de la novenera . salamanca bu 2652 , ff . 140r - 156v ( transcr . f . waltman ) bnm 2157 . impreso zaragoza , ca . 1490 ( transcr . h . torr ) : thoma kempi . imitatio christus , ff . a2r - o2r jean gerson . de meditatione cordi , ff . o3r - o9v pablo de santa marus \ * ' . suma de la cro \ * ' nica de espan \ * ~ . esc . h . ii . 22 , ff . 52r - 98v ( transcr . j . krieger ) seudo - san bernardo . infancium del salvador . impreso burgo : juan de burgo , ca . 1495 . bnm 1424 ( 279 kb ) ( e realmente una traduccio \ * ' n de la meditatione de seudo - agustus \ * ' n ) ( transcr . f . waltman )
",no
"Subject: ceth summer seminar electronic text humanity

electronic text humanity : method tool fourth annual ceth summer seminar , 11-23 june 1995 , princeton university organize center electronic text humanity , princeton rutger university co-sponsor centre compute humanity , university toronto seminar director : susan hockey , center electronic text humanity willard mccarty , centre compute humanity intensive two-week seminar again offer center electronic text humanity ( ceth ) june 1995 . seminar address wide range challenge opportunity electronic text software offer teacher , scholar , librarian humanities . focus practical methodological , immediate aim assist participant teach , research advise . response demand , expand seminar 1995 allow sixty participant . plenary session six parallel track devote specific area humanities compute . participant attend plenary session select one parallel track detail study . work own project opportunity present end seminar . schedule ( pl = plenary session ) sunday , june 11 6 pm registration , reception introduction . monday , june 12 pl : electronic text where pm pl : creat capture text electronic form ; tuesday , june 13 pl : introduction concordance text retrieval pm pl : overview text encode initiative sgml wednesday , june 14 pl : large text database . artfl . dartmouth dante project , oed pm parallel track thursday , june 15 pl : electronic edition scholarly publish ( panel ) . pm parallel track friday , june 16 pl : introduction structure database . pm parallel track monday , june 19 pl : hypertext humanities . pm parallel track tuesday , june 20 pl : overview digital image technique . demonstration . pm individual project work . wednesday , june 21 pl : institutional support electronic text ( panel ) . pm parallel track thursday , june 22 pl : discussion limitation exist software . pm pl : presentation participant ' project . 6 pm cocktail banquet . friday , june 23 pl : presentation participant ' project . pm pl : conclude discussion basic question . scholarly methodological perspective gain ? parallel track 1 . textual analysis intensive study textual analysis tool application . index interactive retrieval v batch concordance generation . using tact micro - ocp . application : stylistic , corpus linguistics , literary criticism , instructor : susan hockey , center electronic text humanity willard mccarty , centre compute humanity 2 . text encode initiative ( tei ) sgml using tei 's application standard generalize markup language ( sgml ) . document structure sgml element , dtds sgml entity , tei core tag base tag set , tei header , additional tag set . process tei encode text . instructor : c . m . sperberg - mcqueen , editor - - chief tei . 3 . scholarly edite computer tool preparation publication scholarly edition . transcription computer image source ; collation ; tei guideline scholarly edition ; hypertext electronic edition instructor : peter robinson , oxford university centre humanity compute . 4 . hypertext humanity introduction develop hypertext humanities . build hypercard stack world wide web document . design example hypertext . examination role humanities research teach . instructor : geoffrey rockwell , head humanity compute , mcmaster univ 5 . tool historical analysis survey method most frequently historian computer-aid teach research , focus database statistical process , content analysis , corpus creation image process . instructor : daniel greenstein , senior lecturer modern history , glasgow univ 6 . sett electronic text center practical aspect set manage electronic text center . hardware software stand-alone network resource , collection development , train , budget , license , institutional relation . instructor : anita lowry , head information arcade , university iowa detail date : june 11-23 , 1995 cost : $ 1275 nonstudent . $ 1075 student . fee include tuition , computer facility , print seminar material , open reception , lunch ( monday through friday both week ) , close banquet . payment request acceptance . location : princeton university , fourth oldest college north america , found 1746 . dure stay , seminar participant access university 's extensive compute system , princeton art museum library system house five million book , nearly 35 , 0 journal , manuscript , papyrus . classroom , lab facility , dormitory within walk distance historic picturesque princeton , jersey campus . accommodation : bed breakfast accommodation available princeton university student house facility cost $ 25 per day . ceth assist participant hotel accommodation prefer . application enrollment limit sixty participant . application require two part : cover sheet statement interest . current student apply reduce rate must include photocopy valid student id . e - mail submission must subject line "" summer seminar application . "" application review committee consist member ceth 's govern board . cover sheet include : name , current institutional affiliation position , postal e-mail address , telephone fax number , natural language interest compute experience , parallel track interest attend , list order preference . indicate three parallel track . first choice full , assign second choice . statement interest include participation seminar relevant teach , research , advise , administrative work , possibly colleague ; particular project undertake during seminar area humanities most explore ; extent compute experience . application deadline : february 21 , 1995 notification acceptance march 21 , 1995 send application : ceth summer seminar 1995 , center electronic text humanity , 169 college avenue , brunswick , jersey 08903 u . s . . phone : 908 / 932-1384 ; fax : 908 / 932-1386 ; e - mail ceth @ zodiac . rutger . edu [ longer version notice ceth www server http : / / cethmac . princeton . edu ]
",no
"Subject: postdoc position groningen , netherland

job position : postdoc dept . social pharmacy pharmacoepidemiology , groningen institute drug study , faculty mathematic natural science , netherland . description work group social pharmacy pharmacoepidemiology perform fundamental apply research epidemiological medical literature database order determine effectiveness / side-effect profile drug . post-doc ask participate program develop computer text analysis pattern recognition technique extraction ( side ) effect profile drug pharmaceutical medical electronic literature database : ( 1 ) source information lead innovative drug research ; ( 2 ) determine benefit-risk profile drug . phd - student assign program . requirement computer linguist computer scientist , complete phd - project expertise corpus linguistics , mathematical linguistics intelligent information retrieval ; interest pharmaceutical science innovative drug research ; expertise datum mine pattern recognition method desire . remark salary basis ministry guideline minimum dfl . 3844 , - maximum dfl . f . 7 . 125 , - ( schaal 10 / 11 rwoo ) bruto pro month , dependent education experience . work group social pharmacy pharmacoepidemiology part dutch school ' groningen - utrecht institute drug exploration ' ( guide ) , acknowledge royal dutch academy science . appointment two . information project : prof . dr . r . vo , email : r . vo @ farm . rug . nl ; tel . + 31 . 50 . 3633331 / 3633272 ; fax . + 31 . 50 . 3633311 . reaction . s . . p . , preferably before july 1st , 1997 . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - marc weeber http : / / www . farm . rug . nl / marc / home . html groningen university centre pharmacy marc @ farm . rug . nl social pharmacy pharmacoepidemiology tel : + 31 50 3637571 _ _ _ . deusinglaan 2 fax : + 31 50 3633311 | 9713 aw groningen , netherland - - - - - - - - - - - - - - - - - - - - - 0 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
",no
"Subject: query : font

prepare long overdue faq font . information font ibm mac please send rreck @ emunix . emich . edu information availible list .
",no
"Subject: corpus software

' m computerize sociolinguistic corpus speak french english . grateful anybody information concord text retrival software . ' m macintosh micro-computer . thank . . . louise charbonneau - lloyd
",no
"Subject: lat . amer . indian lit . symposium

call papers 12th international symposium latin american indian literature 19-23 june 1995 universidad nacional autonoma de mexico , mexico city topic / presentation development topic perspective anthropology , art , astronomy , architecture , bibliography , codex , history , ethnohistory , indigenista literature , linguistics , literary study , medicine , religion , rock art , etc . , must clearly directly relate indigenous literature . delivery shall 30 minute follow 10 minute question . abstract / deadline consider , four copy ( typewrite , double space ) 150-200 word abstract english spanish send : monica barn , program chair , 377 rector place , apt . 11j , york , ny 10280 . please include name , complete address , phone number , fax ( one ) abstract . 1995 dues $ 25 . 0 ( $ 5 . 0 student retiree ) must pay laila / alila accompany abstract along symposium fee $ 45 . 0 ( $ 12 . 0 student retiree ) . ( present difficulty , contact program chair . ) please check payable laila / alila . absolute deadline receipt abstract jan . 31 , 1995 . since many individual must confirmation earlier date order secure fund institution , each abstract evaluate referee notification mail submitter within six week after receipt . excursion : 16-18 june 1995 teotihuacan , cacaxtlum , tlaxcalum , museum mexico city . publication select symposium paper paper evaluate three referee choose quality development topic . information laila / alila membership , contact dr . mary h . preuss president , laila / alila pennsylvanium state university , mckeesport university drive mckeesport , pa 15132-7698 e - mail contact : ron anderson unite state international university san diego , ca 92131 randerso @ sanac . usiu . edu
",no
